graphs_number,graph_depth,graph_width,bandwidth,min_iters,max_iters,sum_iters
10,5,5,1000,5,14,95
137,5,5,1000,5,25,3215
264,5,5,1000,5,25,6390
391,5,5,1000,5,25,9565
518,5,5,1000,5,25,12740
645,5,5,1000,5,25,15915
772,5,5,1000,5,25,19090
899,5,5,1000,5,25,22265
1026,5,5,1000,25,26,26300
1153,5,5,1000,28,29,33109
1280,5,5,1000,31,32,40680
1407,5,5,1000,34,36,49188
1534,5,5,1000,37,39,58458
1661,5,5,1000,40,42,68490
1788,5,5,1000,43,45,79284
1915,5,5,1000,46,48,90840
2042,5,5,1000,50,52,103200
2169,5,5,1000,53,55,116407
2296,5,5,1000,56,58,130376
2423,5,5,1000,59,61,145107
2550,5,5,1000,62,64,160600
2677,5,5,1000,65,67,176855
2804,5,5,1000,68,71,193972
2931,5,5,1000,71,74,211926
3058,5,5,1000,74,77,230642
3185,5,5,1000,77,80,250120
3312,5,5,1000,80,83,270360
3439,5,5,1000,83,86,291362
3566,5,5,1000,86,90,313276
3693,5,5,1000,89,93,335977
3820,5,5,1000,92,96,359440
3947,5,5,1000,95,99,383665
4074,5,5,1000,98,102,408652
4201,5,5,1000,101,106,434426
4328,5,5,1000,104,109,461112
4455,5,5,1000,107,112,488560
4582,5,5,1000,110,115,516770
4709,5,5,1000,114,118,545726
4836,5,5,1000,117,121,575412
4963,5,5,1000,120,125,605935
