graphs_number,graph_depth,graph_width,bandwidth,min_iters,max_iters,sum_iters
10,5,5,1000,5,5,50
137,5,5,1000,5,5,685
264,5,5,1000,5,10,1640
391,5,5,1000,5,10,2910
518,5,5,1000,5,15,4770
645,5,5,1000,5,20,6900
772,5,5,1000,5,20,9440
899,5,5,1000,5,25,12475
1026,5,5,1000,5,30,15780
1153,5,5,1000,5,30,19590
1280,5,5,1000,5,35,23800
1407,5,5,1000,5,40,28280
1534,5,5,1000,5,40,33360
1661,5,5,1000,5,45,38745
1788,5,5,1000,5,45,44460
1915,5,5,1000,5,50,50750
2042,5,5,1000,5,55,57310
2169,5,5,1000,5,55,64295
2296,5,5,1000,5,60,71760
2423,5,5,1000,5,65,79495
2550,5,5,1000,5,65,87750
2677,5,5,1000,5,70,96390
2804,5,5,1000,5,75,105300
2931,5,5,1000,5,75,114825
3058,5,5,1000,5,80,124640
3185,5,5,1000,5,80,134800
3312,5,5,1000,5,85,145520
3439,5,5,1000,5,90,156510
3566,5,5,1000,5,90,167940
3693,5,5,1000,5,95,179835
3820,5,5,1000,5,100,192000
3947,5,5,1000,5,100,204700
4074,5,5,1000,5,105,217770
4201,5,5,1000,5,110,231110
4328,5,5,1000,5,110,245080
4455,5,5,1000,5,115,259325
4582,5,5,1000,5,115,273930
4709,5,5,1000,5,120,289080
4836,5,5,1000,5,125,304500
4963,5,5,1000,5,125,320375
