,interval,s3_usage,s3_limit
0,0.04,14.809793986491139,100
1,0.04,22.19273991880758,100
2,0.04,40.1593544360406,100
3,0.04,52.387706508455594,100
4,0.04,65.47747699808605,100
5,0.04,72.24875813935604,100
6,0.04,82.8257154656678,100
7,0.04,92.15524482184122,100
8,0.04,99.43469832532442,100
9,0.04,99.43469832532442,100
10,0.04,99.43469832532442,100
11,0.04,99.43469832532442,100
12,0.04,99.43469832532442,100
13,0.04,99.43469832532442,100
14,0.04,99.43469832532442,100
15,0.04,99.43469832532442,100
16,0.04,99.43469832532442,100
17,0.04,99.43469832532442,100
18,0.04,99.43469832532442,100
19,0.04,99.43469832532442,100
20,0.04,96.23840253634962,100
21,0.04,99.79861755017717,100
22,0.04,99.79861755017717,100
23,0.04,97.00111873805214,100
24,0.04,97.00111873805214,100
25,0.04,97.00111873805214,100
26,0.04,99.54145106509412,100
27,0.04,95.51286020765595,100
28,0.04,99.96807215577856,100
29,0.04,99.96807215577856,100
30,0.04,99.96807215577856,100
31,0.04,99.96807215577856,100
32,0.04,99.96807215577856,100
33,0.04,99.96807215577856,100
34,0.04,99.96807215577856,100
35,0.04,99.96807215577856,100
36,0.04,99.96807215577856,100
37,0.04,99.96807215577856,100
38,0.04,99.96807215577856,100
39,0.04,99.96807215577856,100
40,0.04,99.96807215577856,100
41,0.04,99.96807215577856,100
42,0.04,99.96807215577856,100
43,0.04,99.96807215577856,100
44,0.04,99.96807215577856,100
45,0.04,99.96807215577856,100
46,0.04,99.96807215577856,100
47,0.04,99.96807215577856,100
48,0.04,99.96807215577856,100
49,0.04,99.96807215577856,100
50,0.04,99.96807215577856,100
51,0.04,99.96807215577856,100
52,0.04,99.96807215577856,100
53,0.04,99.96807215577856,100
54,0.04,99.96807215577856,100
55,0.04,99.96807215577856,100
56,0.04,99.96807215577856,100
57,0.04,97.10119086091044,100
58,0.04,97.10119086091044,100
59,0.04,97.10119086091044,100
60,0.04,97.10119086091044,100
61,0.04,97.10119086091044,100
62,0.04,96.7497152666639,100
63,0.04,96.7497152666639,100
64,0.04,96.7497152666639,100
65,0.04,96.7497152666639,100
66,0.04,99.92227852654939,100
67,0.04,99.92227852654939,100
68,0.04,99.92227852654939,100
69,0.04,99.92227852654939,100
70,0.04,99.92227852654939,100
71,0.04,99.92227852654939,100
72,0.04,94.39444122567177,100
73,0.04,95.79274614782693,100
74,0.04,98.3366574142118,100
75,0.04,98.3366574142118,100
76,0.04,98.3366574142118,100
77,0.04,98.3366574142118,100
78,0.04,98.3366574142118,100
79,0.04,98.3366574142118,100
80,0.04,98.3366574142118,100
81,0.04,98.3366574142118,100
82,0.04,99.92371382796256,100
83,0.04,99.92371382796256,100
84,0.04,99.92371382796256,100
85,0.04,99.92371382796256,100
86,0.04,97.25431115912556,100
87,0.04,97.25431115912556,100
88,0.04,92.7723564677674,100
89,0.04,96.75613441960525,100
90,0.04,99.85658629353253,100
91,0.04,99.85658629353253,100
92,0.04,99.85658629353253,100
93,0.04,99.85658629353253,100
94,0.04,99.85658629353253,100
95,0.04,99.85658629353253,100
96,0.04,99.85658629353253,100
97,0.04,99.85658629353253,100
98,0.04,99.85658629353253,100
99,0.04,99.85658629353253,100
100,0.04,99.85658629353253,100
101,0.04,99.85658629353253,100
102,0.04,99.85658629353253,100
103,0.04,99.85658629353253,100
104,0.04,96.87979423959828,100
105,0.04,98.78105128032344,100
106,0.04,98.78105128032344,100
107,0.04,98.78105128032344,100
108,0.04,98.78105128032344,100
109,0.04,94.91564255323344,100
110,0.04,97.55440557444419,100
111,0.04,99.31655472774034,100
112,0.04,99.31655472774034,100
113,0.04,99.31655472774034,100
114,0.04,99.31655472774034,100
115,0.04,99.31655472774034,100
116,0.04,96.14832552862357,100
117,0.04,98.0035462293527,100
118,0.04,98.0035462293527,100
119,0.04,92.80883208314447,100
120,0.04,98.61542864380901,100
121,0.04,98.61542864380901,100
122,0.04,98.61542864380901,100
123,0.04,98.61542864380901,100
124,0.04,98.61542864380901,100
125,0.04,98.61542864380901,100
126,0.04,98.61542864380901,100
127,0.04,98.61542864380901,100
128,0.04,95.1282841077481,100
129,0.04,98.53522804209183,100
130,0.04,98.53522804209183,100
131,0.04,98.53522804209183,100
132,0.04,93.2818622139165,100
133,0.04,92.30510175387889,100
134,0.04,98.10511522789488,100
135,0.04,98.10511522789488,100
136,0.04,98.10511522789488,100
137,0.04,98.10511522789488,100
138,0.04,98.10511522789488,100
139,0.04,98.10511522789488,100
140,0.04,98.10511522789488,100
141,0.04,96.51805881414413,100
142,0.04,99.8119419525122,100
